# Knights of Camelot - monster loot tables
# Rows keyed by DropType enum (see src/entity.h). For each depth band a
# monster's DropType lookup yields gold/item ranges.
#
# Columns:
#   drop_type,depth_min,depth_max,gold_min,gold_max,item_chance,rare_chance
# drop_type: none | gold | gold_large | item_weapon | item_armor | item_potion | item_food
# depth_min/max: dungeon level range this row applies to (inclusive). 0/0 = any.
# gold_min/max: gold drop range
# item_chance: % chance a themed item also drops (0-100)
# rare_chance: % chance the item drop is rolled twice (best kept)
gold,0,3,3,12,0,0
gold,4,7,5,20,5,5
gold,8,99,8,30,10,10
gold_large,0,3,12,35,10,5
gold_large,4,7,20,55,15,10
gold_large,8,99,30,80,25,15
item_weapon,0,99,0,0,100,10
item_armor,0,99,0,0,100,10
item_potion,0,99,0,0,100,5
item_food,0,99,0,0,100,0
