# Random names for Knights of Camelot
# name,gender
# gender: male,female
Galahad,male
Percival,male
Tristan,male
Gareth,male
Gawain,male
Bors,male
Bedivere,male
Kay,male
Ector,male
Owain,male
Lamorak,male
Agravain,male
Gaheris,male
Pellinore,male
Lionel,male
Cador,male
Geraint,male
Erec,male
Ywain,male
Palamedes,male
Brunor,male
Tor,male
Hector,male
Colgrevance,male
Elaine,female
Isolde,female
Lynette,female
Enid,female
Viviane,female
Nimue,female
Igraine,female
Morgause,female
Laudine,female
Elise,female
Brangaine,female
Ettarde,female
Lunete,female
Ragnell,female
Ygraine,female
Britomart,female
Gloriana,female
Rowena,female
Aethelflaed,female
Hild,female
Ceridwen,female
Rhiannon,female
Branwen,female
Gwenhwyfar,female
