# Quest definitions for Knights of Camelot
# name,description,type,giver_town,target_town,target_dungeon,gold_reward,stat_reward,xp_reward,chivalry_min
# type: delivery,fetch,kill
# stat_reward: 0=STR, 1=DEF, 2=INT, 3=SPD, -1=none
Holy Water Delivery,Deliver holy water to the monk in Glastonbury.,delivery,Winchester,Glastonbury,  ,50,-1,30,0
Letter to London,Bring this sealed letter to the blacksmith in London.,delivery,York,London,  ,60,-1,30,0
Healing Herbs,Carry these healing herbs to the mystic in Cornwall.,delivery,Sherwood,Cornwall,  ,40,2,25,0
King's Message,Deliver a royal decree from Camelot to Castle Lothian.,delivery,Camelot,Castle Lothian,  ,80,0,40,10
Pilgrim's Offering,Carry an offering from Bath to Canterbury cathedral.,delivery,Bath,Canterbury,  ,45,-1,30,0
Wine for the King,Deliver fine wine from Castle Gaul to Camelot Castle.,delivery,Castle Gaul,Camelot Castle,  ,100,-1,50,20
Welsh Ore,Bring Welsh mountain ore to the blacksmith in London.,delivery,Caernarfon,London,  ,70,0,35,0
Grandfather's Shield,Find my grandfather's shield in the Camelot Catacombs.,fetch,Camelot,  ,Camelot Catacombs,80,1,50,0
Ancient Tome,Retrieve the ancient tome from Tintagel Caves.,fetch,Tintagel,  ,Tintagel Caves,90,2,60,0
Dragon Scale,Bring me a Dragon scale from Mount Draig.,fetch,Winchester,  ,Mount Draig,150,0,100,20
Ghost of Sherwood,A ghost haunts Sherwood Depths. Put it to rest.,kill,Sherwood,  ,Sherwood Depths,100,3,80,0
Bandit Hideout,Bandits have a hideout in the Catacombs. Clear them out.,kill,Camelot,  ,Camelot Catacombs,70,-1,50,0
The Black Knight,The Black Knight blocks the road to York. Defeat him.,kill,York,  ,  ,120,0,100,15
Whitby Vampire,A vampire terrorizes Whitby at night. Destroy it.,kill,Whitby,  ,Whitby Abbey,150,1,120,25
Troll Bridge,A troll lurks under a bridge near Caernarfon. Slay it.,kill,Caernarfon,  ,  ,80,0,60,0
