# Town definitions for Knights of Camelot
# name,services,inn_cost,beer_cost,beer_name
# services: inn,church,equip,potion,pawn,mystic,bank,well,stable,food,jeweller
# Major towns
Camelot,inn+church+equip+potion+pawn+mystic+bank+well+stable+food+jeweller,8,2,Camelot Ale
London,inn+church+equip+potion+pawn+mystic+bank+stable+food+jeweller,10,3,London Porter
York,inn+church+equip+potion+pawn+bank+stable+food+jeweller,8,2,York Bitter
Winchester,inn+church+equip+pawn+bank+stable+food+jeweller,8,2,Winchester Mead
# Medium towns
Canterbury,inn+church+potion+pawn+mystic+food+jeweller,7,2,Holy Water Ale
Glastonbury,inn+church+mystic+potion+well+food,6,2,Glastonbury Cider
Bath,inn+church+potion+pawn+food+jeweller+springs,7,2,Roman Spring Ale
Sherwood,inn+equip+pawn+well+food,5,2,Sherwood Stout
Tintagel,inn+church+equip+well+food,6,2,Tintagel Dark
# Smaller towns
Cornwall,inn+pawn+mystic+equip+food,5,2,Cornish Scrumpy
Wales,inn+church+equip+well+food,5,2,Welsh Mead
Whitby,inn+church+pawn+potion+food,12,3,Whitby Stout
Llanthony,inn+church+potion,4,1,Monk's Brew
Carbonek,inn+church+pawn+food,6,2,Grail Ale
# Island towns
Isle of Wight,inn+pawn+equip+food,6,2,Island Bitter
Isle of Man,inn+equip+pawn+food,7,2,Manx Ale
Anglesey,inn+mystic+well+pawn,5,2,Anglesey Mead
Orkney,inn+pawn+mystic+equip,8,3,Orkney Whisky
Newport,inn+church+equip+pawn+food,6,2,Island Ale
Cowes,inn+pawn+equip+food,5,2,Cowes Bitter
Gosport,inn+equip+pawn+food+church,7,2,Gosport Porter
# Active castles
Camelot Castle,inn+equip+church+food+jeweller,6,2,Royal Ale
Castle Surluise,inn+equip,6,2,Surluise Mead
Castle Lothian,inn+equip+pawn+jeweller,7,2,Highland Ale
Castle Northumberland,inn+equip,7,2,Northern Bitter
Castle Gore,inn+equip+church+food,6,2,Gore Stout
Castle Strangore,inn+equip+pawn+potion,6,2,Strangore Draught
Castle Cradelment,inn+equip,6,2,Welsh Dragon Ale
Castle Cornwall,inn+pawn,7,2,Cornish Dark
Castle Listenoise,inn+church,5,2,Pilgrim's Rest
Castle Benwick,inn+equip+potion+food+jeweller,8,2,French Wine
Castle Carados,inn+equip+pawn,7,3,Highland Whisky
Castle Ireland,inn+equip+mystic,6,2,Irish Stout
Castle Gaul,inn+equip+potion+pawn+food+jeweller,8,3,Gallic Wine
Castle Brittany,inn+equip+pawn,7,2,Breton Cider
Edinburgh Castle,inn+equip+potion+pawn+church+food+jeweller,8,3,Edinburgh Ale
Dover Castle,inn+equip+pawn+bank+food,7,2,Dover Porter
Carisbrooke Castle,inn+equip+church,5,2,Castle Ale
# Abbeys
Westminster Abbey,inn+church+potion,3,4,Monk's Strong Ale
Whitby Abbey,inn+church+potion,3,4,Dark Abbey Stout
Rievaulx Abbey,inn+church+potion,3,4,Rievaulx Mead
Bath Abbey,inn+church+potion+food,3,4,Abbey Spring Ale
St Mary's Abbey,inn+church+potion,3,4,St Mary's Brew
Cleeve Abbey,inn+church+potion,3,4,Somerset Strong
Mount Grace Priory,inn+church+potion,3,4,Prior's Reserve
Camelot Abbey,inn+church+potion+food,3,4,Camelot Monks' Ale
